"","Metodo","bissecao","","","","","","","","","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"0.533669924363494","1.86264514923096e-09","2.56178810803531e-11","3.49025692510689e-09","","","","","","","","","","","","","","","","","",""
"0.533669923432171","9.31322574615479e-10","6.4214677412272e-12","1.74512846559892e-09","","","","","","","","","","","","","","","","","",""
"0.53366992296651","4.65661287307739e-10","3.17673881991554e-12","8.72564233560829e-10","","","","","","","","","","","","","","","","","",""
"0.533669923199341","2.3283064365387e-10","1.62236435223562e-12","4.36282116590072e-10","","","","","","","","","","","","","","","","","",""
"0.533669923082925","1.16415321826935e-10","7.77187342260177e-13","2.18141058342622e-10","","","","","","","","","","","","","","","","","",""
"0.533669923141133","5.82076609134674e-11","4.22588613407937e-13","1.09070529159414e-10","","","","","","","","","","","","","","","","","",""
"0.533669923112029","2.91038304567337e-11","1.7729936442612e-13","5.45352645826813e-11","","","","","","","","","","","","","","","","","",""
"0.533669923126581","1.45519152283669e-11","1.22644516070691e-13","2.72676322905971e-11","","","","","","","","","","","","","","","","","",""
"0.533669923119305","7.27595761418343e-12","2.73273157574971e-14","1.36338161454844e-11","","","","","","","","","","","","","","","","","",""
"0.533669923122943","3.63797880709171e-12","4.76587085768143e-14","6.81690807269575e-12","","","","","","","","","","","","","","","","","",""
"0.533669923121124","1.81898940354586e-12","1.01656964096586e-14","3.40845403635949e-12","","","","","","","","","","","","","","","","","",""
"0.533669923120215","9.09494701772928e-13","8.58080967391928e-15","1.70422701818265e-12","","","","","","","","","","","","","","","","","",""
"0.533669923120669","4.54747350886464e-13","7.92334947652407e-16","8.521135090906e-13","","","","","","","","","","","","","","","","","",""
"0.533669923120442","2.27373675443232e-13","3.89423736313343e-15","4.26056754545481e-13","","","","","","","","","","","","","","","","","",""
"0.533669923120556","1.13686837721616e-13","1.55084278752327e-15","2.13028377272695e-13","","","","","","","","","","","","","","","","","",""
"0.533669923120613","5.6843418860808e-14","3.79253919935429e-16","1.06514188636336e-13","","","","","","","","","","","","","","","","","",""
"0.533669923120641","2.8421709430404e-14","2.06648934075737e-16","5.32570943181653e-14","","","","","","","","","","","","","","","","","",""
"0.533669923120627","1.4210854715202e-14","8.63024929298462e-17","2.66285471590834e-14","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","User","System","Elapsed","Cumulative","Spawned","","","","","","","","","","","","","","","",""
"Time:","0.0370000000000026","0","0.0370000000000346","0","0","","","","","","","","","","","","","","","",""
