"","Metodo","bissecao","","","","","","","","","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"2.37574768066406","1.52587890625e-05","1.76147212727074e-06","6.4227313307257e-06","","","","","","","","","","","","","8662914.07908614","3345994.67697432","1.43662316388847","0.386243548813691","",""
"2.37574005126953","7.62939453125e-06","9.23699631583119e-06","3.21137597826541e-06","","","","","","","","","","","","","11104708.1376952","2441794.05860907","0.54383093829644","0.21988817971004","",""
"2.3757438659668","3.814697265625e-06","3.7377646204817e-06","1.60568541090292e-06","","","","","","","","","","","","","10434193.6569228","670514.48077238","0.985299995082982","0.0642612647243239","",""
"2.37574577331543","1.9073486328125e-06","9.88146878100338e-07","8.0284206089557e-07","","","","","","","","","","","","","10866241.626254","432047.969331194","0.489608600359122","0.0397605707834914","",""
"2.37574672698975","9.5367431640625e-07","3.86662466711485e-07","4.01420869309006e-07","","","","","","","","","","","","","11292987.7909118","426746.164657727","1.58468461017971","0.0377885970089474","",""
"2.37574625015259","4.76837158203125e-07","3.00742245329388e-07","2.0071047493919e-07","","","","","","","","","","","","","10675443.3706873","617544.420224411","1.38951785851863","0.0578471918009576","",""
"2.37574648857117","2.38418579101562e-07","4.29601008100633e-08","1.00355227398422e-07","","","","","","","","","","","","","6278746.73549149","4396696.63519585","1.38017114002857","0.700250674285509","",""
"2.37574636936188","1.19209289550781e-07","1.28891074702153e-07","5.01776162170041e-08","","","","","","","","","","","","","-642953795.552934","649232542.288426","0.714803719375096","1.00976547114104","",""
"2.37574642896652","5.96046447753906e-08","4.29654876121788e-08","2.50888074790538e-08","","","","","","","","","","","","","-421436179.776287","221517615.776647","1.61987624632424","0.525625530997922","",""
"2.37574645876884","2.98023223876953e-08","2.69340105774063e-12","1.25444035821648e-08","","","","","","","","","","","","","-575132244.85195","153696065.075662","0.587062857144318","0.267236042582218","",""
